year,donor_code,donor,currency,value,prices,iso_code
2014,701,Japan,usd,0.568156311,constant,JPN
2019,62,Croatia,usd,1.500732629,constant,HRV
2018,12,United Kingdom,usd,553.5674098,constant,GBR
2019,12,United Kingdom,usd,700.7437531,constant,GBR
2016,55,Turkey,usd,38.25579671,constant,TUR
2011,5,Germany,usd,88.08545871,constant,DEU
2015,40,Greece,usd,64.35204215,constant,GRC
2019,1,Austria,usd,33.73372259,constant,AUT
2018,72,Bulgaria,usd,4.906921632,constant,BGR
2016,61,Slovenia,usd,8.502152368,constant,SVN
2017,12,United Kingdom,usd,583.3866159,constant,GBR
2011,301,Canada,usd,321.4447993,constant,CAN
2017,11,Switzerland,usd,360.0917269,constant,CHE
2011,820,New Zealand,usd,15.04596614,constant,NZL
2011,18,Finland,usd,35.41122882,constant,FIN
2013,820,New Zealand,usd,19.8571358,constant,NZL
2021,11,Switzerland,usd,368.35,constant,CHE
2016,40,Greece,usd,160.1721018,constant,GRC
2014,68,Czech Republic,usd,13.33448024,constant,CZE
2021,302,United States,usd,1506.49,constant,USA
2020,742,Korea,usd,1.440325347,constant,KOR
2019,6,Italy,usd,482.4031966,constant,ITA
2014,6,Italy,usd,805.9300943,constant,ITA
2020,84,Lithuania,usd,1.253395716,constant,LTU
2018,69,Slovak Republic,usd,0.849030172,constant,SVK
2021,75,Hungary,usd,1.38,constant,HUN
2011,20,Iceland,usd,0.219234508,constant,ISL
2017,20,Iceland,usd,21.54658032,constant,ISL
2019,82,Estonia,usd,0.659416919,constant,EST
2015,50,Spain,usd,36.84594522,constant,ESP
2019,75,Hungary,usd,1.167286935,constant,HUN
2019,50,Spain,usd,325.2497795,constant,ESP
2011,6,Italy,usd,497.7805869,constant,ITA
2013,82,Estonia,usd,0.236473466,constant,EST
2020,72,Bulgaria,usd,5.100368507,constant,BGR
2019,22,Luxembourg,usd,0.276549136,constant,LUX
2016,9,Portugal,usd,5.007697524,constant,PRT
2015,1,Austria,usd,517.2418422,constant,AUT
2019,72,Bulgaria,usd,4.676195872,constant,BGR
2018,701,Japan,usd,0.324780033,constant,JPN
2012,22,Luxembourg,usd,0.033451687,constant,LUX
2020,8,Norway,usd,59.70266297,constant,NOR
2014,55,Turkey,usd,87.70472517,constant,TUR
2014,2,Belgium,usd,189.2439441,constant,BEL
2012,3,Denmark,usd,144.1235382,constant,DNK
2021,61,Slovenia,usd,2.33,constant,SVN
2021,1,Austria,usd,63.12,constant,AUT
